Wavelength,Flux,BestFit,SkyFlux
4325.137,53.480,55.450,10.684
4326.135,56.985,55.749,11.448
4327.130,55.722,55.392,12.512
4328.128,53.262,54.999,12.470
4329.124,52.397,55.212,12.079
4330.119,52.672,55.198,12.053
4331.118,54.422,54.566,11.906
4332.114,54.137,54.060,11.974
4333.113,53.071,54.318,12.380
4334.110,53.598,54.914,12.542
4335.110,54.532,54.552,12.239
4336.107,51.640,54.539,11.948
4337.107,53.729,54.713,11.789
4338.105,52.255,54.736,11.491
4339.103,54.209,54.776,10.998
4340.103,58.660,54.925,11.037
4341.102,54.973,54.506,11.277
4342.103,53.213,54.725,11.365
4343.101,58.475,54.945,11.471
4344.103,57.936,54.577,12.326
4345.102,53.575,54.012,13.080
4346.102,52.834,54.089,12.774
4347.104,51.918,54.699,12.975
4348.104,55.000,54.915,14.580
4349.107,55.140,54.886,14.948
4350.107,53.552,54.678,14.148
4351.110,54.358,54.411,12.775
4352.111,56.738,54.406,12.646
4353.113,54.584,54.828,12.571
4354.116,49.365,54.667,12.486
4355.118,53.858,54.712,13.210
4356.122,57.151,54.534,13.148
4357.125,54.775,54.378,18.050
4358.129,56.223,54.736,38.957
4359.132,52.424,54.323,65.802
4360.135,53.434,53.970,69.291
4361.140,52.130,54.604,48.679
4362.143,51.257,54.879,27.702
4363.149,54.387,54.196,18.318
4364.153,54.697,53.690,15.712
4365.159,51.652,54.430,14.834
4366.164,53.850,54.541,14.106
4367.168,57.368,54.115,13.509
4368.175,52.541,54.128,13.772
4369.180,48.454,54.527,13.938
4370.187,51.402,54.414,13.024
4371.193,53.014,53.886,12.142
4372.201,53.373,54.246,12.198
4373.207,53.725,54.293,12.739
4374.213,55.978,53.993,12.902
4375.221,54.547,53.648,13.566
4376.228,52.210,53.356,14.365
4377.237,53.594,53.334,14.847
4378.244,54.399,53.589,14.934
4379.254,54.308,53.528,14.224
4380.261,53.757,53.198,13.744
4381.269,53.943,52.990,13.133
4382.279,50.713,52.911,13.049
4383.287,52.333,52.365,12.781
4384.298,55.463,52.673,11.363
4385.307,53.047,53.095,10.673
4386.318,51.553,52.974,11.284
4387.327,53.866,52.714,12.156
4388.336,52.754,52.889,12.190
4389.348,49.410,52.855,11.639
4390.358,51.320,53.358,11.446
4391.370,54.278,53.289,11.814
4392.381,54.081,53.119,12.149
4393.393,51.517,53.070,12.631
4394.404,53.189,52.852,12.474
4395.415,54.648,52.925,12.017
4396.429,52.746,52.808,12.181
4397.440,53.455,52.591,12.867
4398.454,52.860,52.464,13.262
4399.466,52.181,52.360,13.014
4400.480,52.648,52.052,13.008
4401.493,51.645,51.653,13.677
4402.505,50.806,52.035,13.711
4403.520,53.716,52.421,14.247
4404.534,54.654,52.622,15.442
4405.549,52.056,52.526,15.307
4406.563,55.312,52.200,15.052
4407.579,54.200,52.386,15.492
4408.593,49.741,52.183,16.088
4409.607,53.591,52.386,16.377
4410.624,52.166,52.279,15.742
4411.638,51.550,51.980,15.422
4412.656,51.561,52.430,16.951
4413.671,50.096,52.931,17.960
4414.689,50.129,52.151,16.035
4415.704,50.961,51.733,15.197
4416.723,50.844,51.951,16.418
4417.739,53.092,52.193,16.211
4418.755,55.589,52.103,14.433
4419.774,50.738,52.114,13.633
4420.791,52.820,51.889,15.474
4421.810,52.100,51.895,16.568
4422.827,52.895,51.478,15.637
4423.847,52.075,50.753,13.829
4424.865,49.980,50.781,13.756
4425.883,52.488,51.684,14.824
4426.903,54.369,51.911,15.225
4427.922,51.318,51.787,15.078
4428.943,50.457,51.385,14.796
4429.962,52.030,51.231,13.610
4430.983,52.790,51.646,13.430
4432.003,48.621,51.438,13.835
4433.022,51.129,51.799,14.504
